route,appearance,stunning,ux,paletteCount,gradientCount,lightSurfaceCount,contrastScore,notes
"/","5.3","5.2","4.0","0","1","0","1",""
"/category-hub","5.3","5.2","4.0","0","1","0","1",""
"/all-posts","5.3","5.2","4.1","0","1","0","1",""
"/listings","5.3","5.2","4.0","0","1","0","1",""
"/for-you","4.4","5.2","4.0","0","0","0","1",""
"/feed","5.7","6.2","5.9","0","3","0","1",""
"/rewards","5.7","6.2","5.9","0","2","0","1",""
"/profile","5.7","6.2","5.9","0","2","0","1",""
"/profile?tab=overview","5.7","6.2","5.9","0","2","0","1",""
"/profile?tab=personal","5.7","6.2","5.9","0","2","0","1",""
"/profile?tab=preferences","5.7","6.2","5.9","0","2","0","1",""
"/profile?tab=settings","8.8","8.1","7.3","0","7","0","1",""
"/post-welcome","8.7","8.1","7.3","0","16","0","1",""
"/tier-selection","5.7","6.2","5.9","0","3","0","1",""
"/tiers","5.7","6.2","5.9","0","3","0","1",""
"/pricing","8.8","8.1","7.5","0","17","0","1",""
"/centre","7.1","6.6","6.4","0","7","0","1",""
"/nearby","6.7","6.6","7.0","0","4","0","1",""
"/category-mode","5.5","5.3","5.4","0","1","0","1",""
"/subcategories","7.9","7.6","6.8","0","7","0","1",""
"/categories","7.9","7.6","6.8","0","7","0","1",""
"/categories/mobiles","8.8","8.1","7.3","0","15","0","1",""
"/categories/electronics","5.7","6.2","5.9","0","3","0","1",""
"/chat","7.8","7.4","7.0","0","6","0","1",""
"/feedback","8.7","8.1","7.2","0","8","0","1",""
"/complaints","8.7","8.1","7.0","0","7","0","1",""
"/verification","8.3","7.8","7.2","0","5","0","1",""
"/dashboard","6.4","6.6","6.3","0","2","0","1",""
"/admin-panel","8.8","8.1","7.3","0","15","0","1",""
"/login","6.5","6.6","5.8","0","5","0","1",""
"/signup","6.6","6.6","5.8","0","6","0","1",""
"/invite/demo","6.6","6.6","5.8","0","6","0","1",""
"/forgot-password","6.0","6.3","5.6","0","4","0","1",""
"/reset-password/demo","6.5","6.5","5.8","0","5","0","1",""
"/home","8.8","8.1","7.1","0","6","0","1",""
"/activity","7.5","7.2","6.7","0","3","0","1",""
"/public-wall","6.3","6.4","6.3","0","6","0","1",""
"/search","8.7","8.1","7.1","0","12","0","1",""
"/post/123","6.1","6.4","6.3","0","4","0","1",""
"/listing/123","6.1","6.4","6.3","0","5","0","1",""
"/add-post","8.2","7.5","7.0","0","8","0","1",""
"/sell","5.7","6.2","5.9","0","3","0","1",""
"/post_add","6.8","6.7","6.7","0","6","0","1",""
"/feed/feedpostadd","6.8","6.7","6.7","0","6","0","1",""
"/edit-post/123","7.7","7.0","6.8","0","4","0","1",""
"/my-home","8.3","7.8","7.1","0","5","0","1",""
"/my-posts","8.7","8.1","7.1","0","4","0","1",""
"/bought-posts","6.5","6.6","6.4","0","3","0","1",""
"/sold-posts","6.5","6.6","6.4","0","3","0","1",""
"/buyer-view","6.7","6.7","6.6","0","7","0","1",""
"/saledone","8.7","8.1","7.1","0","8","0","1",""
"/saleundone","8.3","7.2","6.9","0","9","0","1",""
"/feed/123","6.3","6.4","6.3","0","5","0","1",""
"/my-feed","8.4","7.9","7.1","0","5","0","1",""
"/offers","8.1","7.6","7.4","0","3","0","1",""
"/reviews/123","7.8","6.9","6.8","0","4","0","1",""
"/wishlist","8.3","7.3","6.9","0","9","0","1",""
"/cart","7.0","6.9","6.5","0","9","0","1",""
"/recently-viewed","7.5","7.2","7.0","0","10","0","1",""
"/saved-searches","6.4","6.5","6.5","0","3","0","1",""
"/channels","6.5","6.6","6.4","0","6","0","1",""
"/channels/create","6.1","6.4","6.2","0","4","0","1",""
"/channels/123","6.3","6.5","6.3","0","6","0","1",""
"/centre/create","6.1","6.4","6.2","0","3","0","1",""
"/centre/123","7.8","7.4","6.8","0","5","0","1",""
"/centre/123/listings","6.1","6.4","6.2","0","3","0","1",""
"/notifications","8.8","8.1","7.1","0","10","0","1",""
"/security","8.2","7.7","6.9","0","6","0","1",""
"/payment","5.9","6.3","6.1","0","5","0","1",""
"/kyc","7.6","7.5","6.7","0","4","0","1",""
"/aadhaar-verify","8.2","7.7","7.2","0","4","0","1",""
"/analytics","8.8","8.1","7.5","0","5","0","1",""
"/t&c","7.1","6.7","6.5","0","6","0","1",""
"/terms","7.1","6.7","6.5","0","6","0","1",""
"/privacy-policy","7.1","6.7","6.5","0","6","0","1",""
"/refund-policy","7.1","6.7","6.4","0","6","0","1",""
"/support-ticket-policy","7.1","6.7","6.5","0","6","0","1",""
