"Key","Route","Title","AndroidKB","WebKB","Ratio","Functionality","Features","UIUX","Overall","WebFile","AndroidFile"
"rewards","/rewards","Rewards","65.6","946.4","0.07","6","6","6","6","39_rewards.png","046_rewards.png"
"admin_panel","/admin-panel","Admin panel","95.3","981.2","0.1","6","6","6","6","33_admin-panel.png","060_admin_panel.png"
"analytics","/analytics","Analytics","67.6","452.4","0.15","6","6","6","6","65_analytics.png","047_analytics.png"
"terms","/terms-and-conditions","Terms and conditions","102.2","510","0.2","7","7","7","7","60_terms-and-conditions.png","056_terms.png"
"privacy","/privacy-policy","Privacy policy","106.7","505.9","0.21","7","7","7","7","61_privacy-policy.png","057_privacy.png"
"verification","/verification","Verification","66.5","312.7","0.21","7","7","7","7","54_verification.png","044_verification.png"
"centre_listings","/centre/:id/listings","Centre listings","311","100.6","0.32","7","7","7","7","70_centre_create.png","053_centre_listings.png"
"buyer_view","/buyer-view","Buyer view","350.6","911.1","0.38","8","8","8","8","30_buyer-view.png","025_buyer_view.png"
"security","/security","Security","488","1060.6","0.46","8","8","8","8","15_security.png","042_security.png"
"channel_detail","/channels/:id","Channel detail","102.3","190.6","0.54","8","8","8","8","67_channels_create.png","050_channel_detail.png"
"invite","/invite/:code","Invite redirect","133.9","232.5","0.58","8","8","8","8","03_invite_code.png","055_invite.png"
"not_found","*","Not found","102","167.1","0.61","8","8","8","8","01_login.png","061_not_found.png"
"signup","/signup","Sign up","375.1","232.5","0.62","8","8","8","8","02_signup.png","002_signup.png"
"centre_detail","/centre/:id","Centre detail","63.8","100.6","0.63","8","8","8","8","70_centre_create.png","054_centre_detail.png"
"reset_password","/reset-password/:token","Reset password","295.9","194.6","0.66","9","9","9","9","06_reset-password_token.png","004_reset_password.png"
"feed","/feed","Feed","441.4","666.3","0.66","9","9","9","9","44_feed.png","029_feed.png"
"offers","/offers","Offers","406.9","273.4","0.67","9","9","9","9","75_offers.png","028_offers.png"
"forgot_password","/forgot-password","Forgot password","231","157.5","0.68","9","9","9","9","04_forgot-password.png","003_forgot_password.png"
"for_you","/for-you","For you","393.6","270.3","0.69","9","9","9","9","27_for-you.png","007_for_you.png"
"login","/login","Login","238","167.1","0.7","9","9","9","9","01_login.png","001_login.png"
"subcategories","/subcategories","Subcategories","606.4","857.3","0.71","9","9","9","9","41_subcategories.png","011_subcategories.png"
"activity","/activity","Activity hub","300.5","212.6","0.71","9","9","9","9","13_activity.png","040_activity.png"
"post_add","/post_add","Feed post add","293","211.4","0.72","9","9","9","9","48_post_add.png","032_post_add.png"
"channel_create","/channels/create","Create channel","262.5","190.6","0.73","9","9","9","9","67_channels_create.png","049_channel_create.png"
"all_posts","/all-posts","All posts","709.1","954.3","0.74","9","9","9","9","08_all-posts.png","006_all_posts.png"
"wishlist","/wishlist","Wishlist","693.6","515.4","0.74","9","9","9","9","50_wishlist.png","019_wishlist.png"
"nearby","/nearby","Nearby","260.3","194.6","0.75","9","9","9","9","55_nearby.png","009_nearby.png"
"bought_posts","/bought-posts","Bought posts","325","244.1","0.75","9","9","9","9","28_bought-posts.png","023_bought_posts.png"
"cart","/cart","Cart","654.2","491.1","0.75","9","9","9","9","51_cart.png","018_cart.png"
"centre_list","/centre","Centre list","236.4","177","0.75","9","9","9","9","69_centre.png","051_centre_list.png"
"channels","/channels","Channels","323.3","245.4","0.76","9","9","9","9","66_channels.png","048_channels.png"
"sold_posts","/sold-posts","Sold posts","320","244.2","0.76","9","9","9","9","29_sold-posts.png","024_sold_posts.png"
"recently_viewed","/recently-viewed","Recently viewed","663.4","502.5","0.76","9","9","9","9","52_recently-viewed.png","020_recently_viewed.png"
"kyc","/kyc","KYC","174.6","133.4","0.76","9","9","9","9","73_kyc.png","045_kyc.png"
"feed_detail","/feed/:id","Feed detail","156.7","119.5","0.76","9","9","9","9","45_feed_id.png","030_feed_detail.png"
"dashboard","/dashboard","Dashboard","524.7","676.8","0.78","9","9","9","9","12_dashboard.png","039_dashboard.png"
"compare","/compare","Compare","154.2","121.8","0.79","9","9","9","9","42_compare.png","022_compare.png"
"my_feed","/my-feed","My feed","496.6","390.1","0.79","9","9","9","9","46_my-feed.png","031_my_feed.png"
"notifications","/notifications","Notifications","617.2","490.5","0.79","9","9","9","9","36_notifications.png","035_notifications.png"
"search","/search","Search","289.8","363","0.8","9","9","9","9","64_search.png","010_search.png"
"centre_create","/centre/create","Create centre","124.9","100.6","0.81","9","9","9","9","70_centre_create.png","052_centre_create.png"
"category_hub","/category-hub","Category hub","781.9","630.7","0.81","9","9","9","9","20_category-hub.png","005_category_hub.png"
"sale_done","/saledone","Sale done","716.2","577.7","0.81","9","9","9","9","31_saledone.png","026_sale_done.png"
"post_detail","/post/:id","Post detail","133.6","108","0.81","9","9","9","9","10_post_id.png","012_post_detail.png"
"edit_post","/edit-post/:postId","Edit post","207.4","168.8","0.81","9","9","9","9","21_edit-post_postId.png","015_edit_post.png"
"public_wall","/public-wall","Public wall","696.2","855.7","0.81","9","9","9","9","35_public-wall.png","033_public_wall.png"
"my_home","/my-home","My home","358.7","302.8","0.84","9","9","9","9","25_my-home.png","008_my_home.png"
"feedback","/feedback","Feedback","626.3","539.6","0.86","9","9","9","9","38_feedback.png","037_feedback.png"
"refund","/refund-policy","Refund policy","569.2","492.8","0.87","9","9","9","9","62_refund-policy.png","058_refund.png"
"payment","/payment","Payment","426.3","487.2","0.88","9","9","9","9","74_payment.png","017_payment.png"
"support_policy","/support-ticket-policy","Support ticket policy","553.9","488.8","0.88","9","9","9","9","63_support-ticket-policy.png","059_support_policy.png"
"reviews","/reviews/:userId","Reviews","448.1","402.3","0.9","9","9","9","9","76_reviews_userId.png","038_reviews.png"
"tiers","/tier-selection","Tier selection","749.5","828.6","0.9","9","9","9","9","22_tier-selection.png","016_tiers.png"
"saved_searches","/saved-searches","Saved searches","149.8","134.2","0.9","9","9","9","9","53_saved-searches.png","021_saved_searches.png"
"complaints","/complaints","Complaints","597.1","641.3","0.93","9","9","9","9","37_complaints.png","036_complaints.png"
"sale_undone","/saleundone","Sale undone","746.9","695.6","0.93","9","9","9","9","32_saleundone.png","027_sale_undone.png"
"profile","/profile","Profile","635.4","677.4","0.94","9","9","9","9","14_profile.png","041_profile.png"
"chat","/chat","Chat","183.9","194.6","0.95","9","9","9","9","56_chat.png","034_chat.png"
"add_post","/add-post","Add post","338.5","348.3","0.97","9","9","9","9","17_add-post.png","013_add_post.png"
"account_delete","/account/delete","Delete account","318.5","311.4","0.98","9","9","9","9","16_account_delete.png","043_account_delete.png"
"post_welcome","/post-welcome","Post welcome","341.3","348.4","0.98","9","9","9","9","18_post-welcome.png","014_post_welcome.png"
