"Title","Route","Functionality","Features","UIUX","Overall"
"Category Hub","/category-hub","10","10","10","10"
"All Posts / Marketplace","/all-posts","10","10","10","10"
"Home / Landing","/home","10","10","10","10"
"For You / Personalized","/for-you","10","10","10","10"
"Search","/search","10","10","10","10"
"Nearby","/nearby","10","10","10","10"
"Recently Viewed","/recently-viewed","10","10","10","10"
"Saved Searches","/saved-searches","10","10","10","10"
"Categories / Subcategories","/categories","10","10","10","10"
"Compare Posts","/compare","10","10","10","10"
"Login","/login","10","10","10","10"
"Sign Up","/signup","10","10","10","10"
"Forgot Password","/forgot-password","10","10","10","10"
"Dashboard","/dashboard","10","10","10","10"
"Activity Hub","/activity","10","10","10","10"
"Profile","/profile","10","10","10","10"
"Security Settings","/security","10","10","10","10"
"My Home / My Listings","/my-home","10","10","10","10"
"Bought Posts","/bought-posts","10","10","10","10"
"Sold Posts","/sold-posts","10","10","10","10"
"Analytics","/analytics","10","10","10","10"
"Account Deletion","/account/delete","10","10","10","10"
"Create Listing","/add-post","10","10","10","10"
"Tier Selection","/tier-selection","5","5","4","4.7"
"Wishlist","/wishlist","10","10","10","10"
"Cart","/cart","10","10","10","10"
"Sale Done (Mark Sold)","/saledone","5","5","4","4.7"
"Sale Undone","/saleundone","5","5","4","4.7"
"Buyer View","/buyer-view","10","10","10","10"
"Offers","/offers","10","10","10","10"
"Payment","/payment","10","10","10","10"
"Post Welcome","/post-welcome","10","10","10","10"
"Verification Hub","/verification","10","10","10","10"
"Aadhaar Verification","/aadhaar-verify","10","10","10","10"
"KYC","/kyc","10","10","10","10"
"Notifications","/notifications","10","10","10","10"
"Chat","/chat","10","10","10","10"
"Community Feed","/feed","10","10","10","10"
"Public Wall","/public-wall","10","10","10","10"
"Channels","/channels","10","10","10","10"
"Create Channel","/channels/create","5","5","4","4.7"
"Rewards & Referrals","/rewards","10","10","10","10"
"Complaints","/complaints","10","10","10","10"
"Feedback","/feedback","10","10","10","10"
"Terms & Conditions","/terms","10","10","10","10"
"Privacy Policy","/privacy-policy","5","5","4","4.7"
"Refund Policy","/refund-policy","5","5","4","4.7"
"Support Ticket Policy","/support-ticket-policy","5","5","4","4.7"
