route,appearance,stunning,ux,paletteCount,gradientCount,lightSurfaceCount,contrastScore,notes
"/","5.3","5.2","4.0","0","1","0","1",""
"/category-hub","5.3","5.2","4.0","0","1","0","1",""
"/all-posts","5.3","5.2","4.0","0","1","0","1",""
"/listings","5.3","5.2","4.0","0","1","0","1",""
"/for-you","5.3","5.2","4.0","0","1","0","1",""
"/feed","5.3","5.2","4.0","0","1","0","1",""
"/rewards","5.3","5.2","4.0","0","1","0","1",""
"/profile","5.3","5.2","4.0","0","1","0","1",""
"/profile?tab=overview","5.3","5.2","4.0","0","1","0","1",""
"/profile?tab=personal","5.3","5.2","4.0","0","1","0","1",""
"/profile?tab=preferences","5.4","5.2","5.6","0","1","0","1",""
"/profile?tab=settings","5.5","5.3","5.7","0","1","0","1",""
"/post-welcome","5.3","5.2","4.0","0","1","0","1",""
"/tier-selection","5.4","6.0","5.6","0","2","0","1",""
"/tiers","5.3","5.2","4.0","0","1","0","1",""
"/pricing","5.3","5.2","4.0","0","1","0","1",""
"/centre","5.5","6.1","5.7","0","2","0","1",""
"/nearby","5.3","5.2","4.0","0","1","0","1",""
"/category-mode","5.3","5.2","4.0","0","1","0","1",""
"/subcategories","5.3","5.2","4.0","0","1","0","1",""
"/categories","4.4","5.2","4.0","0","0","0","1",""
"/categories/mobiles","5.5","6.1","5.7","0","2","0","1",""
"/categories/electronics","5.5","6.1","5.7","0","2","0","1",""
"/chat","6.0","6.3","6.0","0","2","0","1",""
"/feedback","5.5","5.3","5.7","0","1","0","1",""
"/complaints","8.6","7.4","6.9","0","6","0","1",""
"/verification","8.1","7.0","6.8","0","4","0","1",""
"/dashboard","5.5","5.3","5.7","0","1","0","1",""
"/admin-panel","4.4","5.2","4.0","0","0","0","1",""
"/login","5.3","5.2","4.1","0","1","0","1",""
"/signup","7.7","6.9","6.1","0","4","0","1",""
"/invite/demo","6.0","6.3","6.0","0","4","0","1",""
"/forgot-password","5.3","5.2","4.1","0","1","0","1",""
"/reset-password/demo","5.3","5.2","4.1","0","1","0","1",""
"/home","7.1","6.2","6.3","0","1","0","1",""
"/activity","5.5","6.1","5.7","0","2","0","1",""
"/public-wall","6.3","6.4","6.2","0","5","0","1",""
"/search","8.8","8.1","7.0","0","6","0","1",""
"/post/123","5.4","5.2","5.6","0","1","0","1",""
"/listing/123","5.5","6.1","5.7","0","2","0","1",""
"/add-post","5.5","6.1","5.7","0","2","0","1",""
"/sell","5.5","6.1","5.7","0","2","0","1",""
"/post_add","5.3","6.0","4.6","0","2","0","1",""
"/feed/feedpostadd","5.5","6.1","5.7","0","2","0","1",""
"/edit-post/123","7.6","6.9","6.6","0","3","0","1",""
"/my-home","8.6","8.0","7.1","0","4","0","1",""
"/my-posts","8.8","8.1","7.5","0","4","0","1",""
"/bought-posts","6.7","6.7","6.3","0","2","0","1",""
"/sold-posts","6.7","6.7","6.3","0","2","0","1",""
"/buyer-view","7.2","7.0","6.6","0","7","0","1",""
"/saledone","8.7","8.1","6.9","0","7","0","1",""
"/saleundone","6.1","6.4","6.0","0","3","0","1",""
"/feed/123","7.9","7.5","7.2","0","10","0","1",""
"/my-feed","8.7","8.1","7.0","0","4","0","1",""
"/offers","6.2","6.4","6.3","0","3","0","1",""
"/reviews/123","6.2","6.4","6.3","0","4","0","1",""
"/wishlist","8.1","7.2","6.7","0","7","0","1",""
"/cart","7.0","6.9","6.4","0","7","0","1",""
"/recently-viewed","7.0","6.9","6.3","0","9","0","1",""
"/saved-searches","6.7","6.7","6.6","0","2","0","1",""
"/channels","6.8","6.8","6.4","0","3","0","1",""
"/channels/create","6.9","6.8","6.5","0","3","0","1",""
"/channels/123","6.4","6.5","6.2","0","5","0","1",""
"/centre/create","6.5","6.6","6.2","0","3","0","1",""
"/centre/123","7.9","7.5","6.7","0","4","0","1",""
"/centre/123/listings","6.0","6.3","6.0","0","2","0","1",""
"/notifications","8.8","8.1","7.2","0","8","0","1",""
"/security","8.2","7.1","6.9","0","3","0","1",""
"/payment","6.0","6.3","5.9","0","3","0","1",""
"/kyc","7.7","6.9","6.6","0","3","0","1",""
"/aadhaar-verify","7.9","6.9","6.8","0","3","0","1",""
"/analytics","8.8","8.1","7.1","0","3","0","1",""
"/t&c","7.0","6.6","6.3","0","5","0","1",""
"/terms","7.0","6.6","6.3","0","5","0","1",""
"/privacy-policy","7.0","6.6","6.3","0","5","0","1",""
"/refund-policy","6.9","6.6","6.3","0","5","0","1",""
"/support-ticket-policy","7.0","6.6","6.5","0","5","0","1",""
